qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
163.0,168.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(Violin 1)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&U(Eb Horn 3)&P8(Main)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 3)&P8(Main)&P8(Bb Trumpet 2),U(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Bb Trumpet 2),Main Part,P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&U(Main),,P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
168.0,174.0,P8(Flute 2)&P8(Eb Horn 3)&P8(Main)&P8(Bb Trumpet 2)&P8(Contrabass),P8(Flute 1)&P8(Eb Horn 3)&U(Main)&U(Bb Trumpet 2)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Horn 2)&U(Violin 1)&P8(Violin 2),,,,,,P8(Oboe 1)&P8(Eb Horn 2)&P8(Violin 1)&U(Violin 2),P8(Oboe 1)&P8(Eb Horn 1)&P8(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Bb Trumpet 2)&P8(Contrabass),Main Part,P8(Flute 1)&U(Flute 2)&P8(Eb Horn 3)&U(Main)&P8(Contrabass),,U(Oboe 1)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violin 2),P8(Oboe 1)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Violin 1),U(Violoncello),U(Viola),P8(Flute 1)&P8(Flute 2)&P8(Eb Horn 3)&P8(Main)&P8(Bb Trumpet 2)
174.0,180.0,P8(Flute 2)&P8(Contrabass),P8(Flute 1)&P8(Contrabass),P8(Bb Clarinet 1),,P8(Oboe 1),,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,P8(Violin 2),P8(Violin 1),Main Part,P8(Main),P8(Flute 1)&P8(Flute 2)
180.0,192.0,,,P8(Bb Clarinet 1),,P8(Oboe 1),,,,P8(Eb Horn 2),P8(Eb Horn 1),P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P8(Eb Horn 3)&P8(Bb Trumpet 2)&P8(Timpani),U(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Timpani),P8(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,,Main Part,,
192.0,198.0,P8(Oboe 1),Main Part,P8(Flute 1),P3(Eb Horn 3),,P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Bb Clarinet 2)&P3(Bassoon 1),P8(Eb Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P8(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Timpani),P3(Oboe 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 2)&P8(Timpani),U(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Timpani),P8(Eb Horn 1)&U(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,,,P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Contrabass),P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Violoncello)
198.0,204.0,P6(Main)&P6(Bb Clarinet 2),Main Part,,,,P6(Flute 1)&P8(Main),,P8(Eb Horn 3)&P8(Violoncello)&P8(Contrabass),,P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&P8(Bb Trumpet 2),P8(Eb Horn 2)&P8(Bb Trumpet 1),,,,,P8(Bassoon 2)&P8(Eb Horn 3)&P8(Contrabass),P8(Bassoon 2)&P8(Eb Horn 3)&P8(Violoncello)
204.0,210.5,,Main Part,,,P6(Bb Clarinet 2),P6(Bb Clarinet 1),P3(Main),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,P8(Violoncello)&P8(Contrabass),,P8(Bassoon 2)&U(Bb Trumpet 2),P8(Bassoon 2)&U(Bb Trumpet 1),,,,,P8(Eb Horn 2)&P8(Contrabass),P8(Eb Horn 2)&P8(Violoncello)
210.5,216.0,,Main Part,,,,,,U(Violoncello)&P8(Contrabass),P3(Eb Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2),P3(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,P3(Eb Horn 1)&P8(Eb Horn 2)&U(Bb Trumpet 2),P3(Eb Horn 1)&P8(Eb Horn 2)&U(Bb Trumpet 1),,,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
216.0,228.0,P8(Violin 1),,Main Part,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,P8(Flute 1),,,P8(Contrabass),P8(Violoncello)
228.0,234.0,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1),Main Part,P8(Flute 1)&P8(Bassoon 2),P6(Bb Clarinet 2),P6(Bb Clarinet 1),P8(Flute 2)&P8(Main),P8(Flute 1)&P8(Oboe 2),U(Eb Horn 2)&U(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),U(Eb Horn 1)&U(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),U(Eb Horn 1)&U(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&U(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&U(Bb Trumpet 1),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
234.0,247.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),Main Part,P3(Main),,,P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Bb Trumpet 1),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
247.0,250.0,,,,,Main Part,P3(Main)&P3(Bassoon 1)&P4(Bassoon 2),P8(Main)&P3(Bb Clarinet 2)&P6(Bassoon 2),P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1),,,,,,,,,,,
250.0,253.0,Main Part,,P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2),,P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2),P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P6(Bassoon 2),P4(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 2)&P6(Bassoon 1),,,,,,,,,,,
253.0,259.0,Main Part,,P8(Bb Clarinet 2),,P8(Main),P8(Oboe 1),,,,,,,,,P3(Violin 2)&P8(Viola)&P3(Violoncello),P3(Violin 1)&P3(Viola)&P5(Violoncello),P8(Violin 1)&P3(Violin 2)&P3(Violoncello),P3(Violin 1)&P5(Violin 2)&P3(Viola),
259.0,266.0,,,P8(Bassoon 1)&P2(Contrabass),,,,P8(Oboe 1)&P2(Contrabass),,,,,,,,Main Part,,P3(Violoncello),P3(Viola),P2(Oboe 1)&P2(Bassoon 1)
266.0,271.0,,,U(Main),,P4(Bb Clarinet 2)&P7(Bassoon 2),P4(Bb Clarinet 1)&P4(Bassoon 2),,P7(Bb Clarinet 1)&P4(Bb Clarinet 2),,,,,,,Main Part,,,,
271.0,274.0,,,Main Part,P8(Eb Horn 1)&P8(Eb Horn 2),P4(Bb Clarinet 2)&P8(Bassoon 1)&P7(Bassoon 2),P4(Bb Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2),P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&P7(Bassoon 2),P7(Bb Clarinet 1)&P4(Bb Clarinet 2)&P7(Bassoon 1),P8(Oboe 2)&U(Eb Horn 2),P8(Oboe 2)&U(Eb Horn 1),,,,,,,,,
274.0,277.0,,,Main Part,P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2),P3(Oboe 2)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P2(Oboe 2)&P4(Bb Clarinet 1)&P4(Bassoon 1)&P2(Eb Horn 1)&P2(Eb Horn 2),P3(Oboe 2)&P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P8(Oboe 2)&P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 2),P8(Oboe 2)&P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 1),P8(Main),,,,,,,,
277.0,283.0,,,P2(Oboe 2)&P4(Main)&P8(Bb Clarinet 2)&P4(Bassoon 1)&P2(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2)&P8(Eb Horn 3),P2(Oboe 1)&P3(Main)&P2(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P2(Eb Horn 3),Main Part,P8(Oboe 1)&P2(Oboe 2)&P4(Main)&P4(Bassoon 1)&P2(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2)&U(Eb Horn 3),P4(Oboe 1)&P3(Oboe 2)&P8(Main)&P4(Bb Clarinet 2)&P5(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P4(Eb Horn 3),P2(Oboe 1)&P3(Oboe 2)&P5(Main)&P2(Bb Clarinet 2)&P5(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P2(Eb Horn 3),P2(Oboe 1)&P8(Oboe 2)&P3(Main)&P2(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(Eb Horn 2)&P2(Eb Horn 3),P2(Oboe 1)&P8(Oboe 2)&P3(Main)&P2(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(Eb Horn 1)&P2(Eb Horn 3),P8(Oboe 1)&P2(Oboe 2)&P4(Main)&U(Bb Clarinet 2)&P4(Bassoon 1)&P2(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2),,,,,,,P8(Contrabass),P8(Violoncello)
283.0,289.0,,,,,Main Part,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,P8(Contrabass),P8(Violoncello)
289.0,295.0,Main Part,P8(Bb Clarinet 2)&P3(Bassoon 1),,,P8(Main),P8(Flute 2)&P3(Bassoon 1),P3(Flute 2)&P3(Bb Clarinet 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
295.0,306.0,Main Part,,,,,,,,,,,,,,,,,,
306.0,324.0,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,U(Eb Horn 2),U(Eb Horn 1),P4(Timpani),,,P4(Eb Horn 3),Main Part,,,,
324.0,336.0,P8(Eb Horn 3),,P8(Bb Clarinet 2),,,P8(Oboe 1),,,,,P8(Flute 1),U(Bb Trumpet 2),U(Bb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
336.0,348.0,P8(Bb Clarinet 2),,Main Part,,,P8(Flute 1),,U(Violoncello)&P8(Contrabass),P4(Main)&P4(Eb Horn 3)&P4(Violin 1),,P8(Main)&P4(Eb Horn 1)&P8(Violin 1),U(Bb Trumpet 2),U(Bb Trumpet 1),,P8(Main)&P4(Eb Horn 1)&P8(Eb Horn 3),,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
348.0,366.0,,,Main Part,,,,P8(Bassoon 2),P8(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 3)&P8(Bb Trumpet 2),P8(Eb Horn 3)&P8(Bb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
366.0,393.0,,,P8(Bb Clarinet 2),,Main Part,P8(Oboe 1),,,,,,,P8(Timpani),P8(Bb Trumpet 2),,,,,
393.0,396.0,P5(Oboe 1)&P8(Oboe 2)&P7(Bassoon 1)&P4(Bassoon 2)&P8(Violin 1)&P5(Violin 2),,P5(Flute 1)&P5(Oboe 2)&P3(Bassoon 1)&P2(Bassoon 2)&P5(Violin 1)&P8(Violin 2),P8(Flute 1)&P5(Oboe 1)&P7(Bassoon 1)&P4(Bassoon 2)&U(Violin 1)&P5(Violin 2),Main Part,,P7(Flute 1)&P3(Oboe 1)&P7(Oboe 2)&P4(Bassoon 2)&P7(Violin 1)&P3(Violin 2),P4(Flute 1)&P2(Oboe 1)&P4(Oboe 2)&P4(Bassoon 1)&P4(Violin 1)&P2(Violin 2),,,,,,,P8(Flute 1)&P5(Oboe 1)&U(Oboe 2)&P7(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2),P5(Flute 1)&P8(Oboe 1)&P5(Oboe 2)&P3(Bassoon 1)&P2(Bassoon 2)&P5(Violin 1),U(Violoncello),U(Viola),
396.0,399.0,P8(Violin 1),,P3(Bassoon 1),P4(Bassoon 2)&P4(Viola)&P4(Violoncello),Main Part,,P3(Oboe 1),P4(Oboe 2)&U(Viola)&U(Violoncello),,,,,,,P8(Flute 1),,P4(Oboe 2)&U(Bassoon 2)&U(Violoncello),P4(Oboe 2)&U(Bassoon 2)&U(Viola),
399.0,402.0,P8(Violin 1),,P3(Bassoon 1),,Main Part,,P3(Oboe 1),P3(Violin 2),,,,,,,P8(Flute 1),P3(Bassoon 2),U(Violoncello),U(Viola),
402.0,441.0,,,,,Main Part,,,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,,,,,
441.0,447.0,P6(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&P8(Main)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P3(Eb Horn 1)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P6(Timpani),P6(Flute 1)&P4(Oboe 1)&P8(Oboe 2)&P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P3(Flute 1)&P4(Flute 2)&P4(Oboe 2)&P3(Main)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(Eb Horn 1)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(Eb Horn 1)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),Main Part,P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Main)&P3(Bassoon 1)&P4(Bassoon 2)&U(Eb Horn 1)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&P8(Main)&P3(Bb Clarinet 2)&P6(Bassoon 2)&P3(Eb Horn 1)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P6(Timpani),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P4(Eb Horn 1)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Main)&U(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani),P8(Eb Horn 3)&U(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P8(Bb Trumpet 2)&P8(Timpani),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P4(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Timpani),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,,,U(Eb Horn 2)&P8(Eb Horn 3)&P8(Contrabass),P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Violoncello)
447.0,453.0,,,Main Part,,,,,,,P8(Eb Horn 3)&U(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),,,,,P8(Viola),P8(Violin 2),U(Eb Horn 2)&P8(Eb Horn 3)&P8(Contrabass),P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Violoncello)
453.0,459.0,P8(Bb Clarinet 2),U(Bb Clarinet 1),Main Part,,U(Flute 2),P8(Flute 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
459.0,465.0,P3(Main),P3(Bb Clarinet 2)&P3(Eb Horn 2)&P5(Eb Horn 3),P3(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani),P3(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P3(Bb Clarinet 2)&P8(Eb Horn 1)&P3(Eb Horn 2)&P8(Contrabass),P3(Flute 2)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&P8(Eb Horn 2)&P3(Eb Horn 3)&P3(Contrabass),P3(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Timpani),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Eb Horn 2)&P8(Contrabass),P3(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 3)&P3(Contrabass),P5(Flute 2)&P3(Bb Clarinet 2)&P3(Eb Horn 2),P3(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb Trumpet 2)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Bb Trumpet 1)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,,P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P3(Eb Horn 2)
