qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin solo,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
141.5,117.9167,24,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,B3,F#3,E-4,B2,E2
142.0,118.3333,24,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,E-4,B3,B3,F#3,r
142.5,118.75,24,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,B4,E-4,B3,B3,F#3,r
143.0,119.1667,24,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B4,C#4,B3,E4,B2,E2
143.5,119.5833,24,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,E-4,B3,F#4,B2,E2
144.0,120.0,25,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,E4,B3,G4,E2,E2
144.5,120.4167,25,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,E4,B3,G4,B2,E2
145.0,120.8333,25,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,G4,E4,G4,E3,r
146.0,121.6667,25,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,E4,B3,G4,E3,E2
147.0,122.5,25,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,B4,F#4,B3,F#4,B2,B1
147.5,122.9167,25,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,B4,G4,B3,F#4,B2,B1
148.0,123.3333,25,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,A4,B3,F#4,r,r
149.0,124.1667,25,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,B3,B3,G4,B2,B1
149.5,124.5833,25,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,B4,B3,B3,G4,B2,B1
149.75,124.7917,25,2.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,B3,B3,F#4,B2,B1
150.0,125.0,26,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,E4,C3,E4,C3,C2
150.75,125.625,26,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,E4,C3,D4,C3,C2
151.0,125.8333,26,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,E4,r,C4,r,r
151.5,126.25,26,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,E4,r,B3,r,r
152.0,126.6667,26,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,C3,A3,C3,C2
152.5,127.0833,26,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,C3,G3,C3,C2
153.0,127.5,26,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,A3,A3,F#2,F#1
154.0,128.3333,26,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,A3,C4,r,r
155.0,129.1667,26,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,B3,G3,B3,B2,B1
155.5,129.5833,26,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,B3,F#3,A3,B2,B1
156.0,130.0,27,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,B3,E3,G3,E2,E1
156.5,130.4167,27,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,E4,B3,E3,G3,E2,E1
157.0,130.8333,27,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B3,G3,E3,E3,r,r
158.0,131.6667,27,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,G3,E3,E3,B-2,r
159.0,132.5,27,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,G3,E3,E3,B2,r
160.0,133.3333,27,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,G3,E3,E3,B2,r
161.0,134.1667,27,2.6667,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
161.5,134.5833,27,2.8333,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
162.0,135.0,28,1.0,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
163.0,135.8333,28,1.3333,r,r,G4,r,G4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
163.5,136.25,28,1.5,r,r,A4,r,G4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
164.0,136.6667,28,1.6667,r,r,B4,r,G4,E4,r,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
164.5,137.0833,28,1.8333,r,r,C5,r,G4,E4,r,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
165.0,137.5,28,2.0,r,r,D5,r,G4,D4,r,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
166.0,138.3333,28,2.3333,r,r,B4,r,G4,D4,r,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
167.0,139.1667,28,2.6667,r,r,B4,r,G4,D4,r,B3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,r
168.0,140.0,29,1.0,r,r,C5,r,F#4,D4,r,A3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
168.5,140.4167,29,1.1667,r,r,C5,r,F#4,D4,r,A3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,G1
169.0,140.8333,29,1.3333,r,r,A4,r,F#4,D4,r,C4,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r
170.0,141.6667,29,1.6667,r,r,A4,r,F#4,D4,r,C4,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,G1
171.0,142.5,29,2.0,r,r,D5,r,B4,D4,r,B3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
171.5,142.9167,29,2.1667,r,r,D5,r,B4,D4,r,B3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,G1
172.0,143.3333,29,2.3333,r,r,B4,r,G4,D4,r,D4,D3,D4,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r,B3,r
173.0,144.1667,29,2.6667,B5,r,B4,r,F#4,D4,r,D4,D3,F#4,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,r,D3,D2
173.75,144.7917,29,2.9167,A5,r,A4,r,F#4,C4,r,C4,D3,F#4,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C4,r,D3,D2
174.0,145.0,30,1.0,G5,r,G4,r,G4,B3,r,B3,E3,G4,r,r,r,r,r,r,r,r,r,r,r,G4,G4,B3,r,E3,E2
175.5,146.25,30,1.5,B5,r,B4,r,G4,B3,r,B3,E3,G4,r,r,r,r,r,r,r,r,r,r,r,B4,G4,B3,r,E3,E2
176.0,146.6667,30,1.6667,D6,r,D5,r,B4,D4,r,D4,D3,B4,r,r,r,r,r,r,r,r,r,r,r,D5,B4,D4,r,D3,D2
176.5,147.0833,30,1.8333,F#6,r,F#5,r,A4,D4,r,D4,C3,A4,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,D4,r,C3,C2
177.0,147.5,30,2.0,G6,r,G5,r,D5,D4,r,D4,B2,G4,r,r,r,r,r,r,r,r,r,r,r,G5,G4,D4,r,B2,B1
178.0,148.3333,30,2.3333,G6,r,G5,r,G4,D4,r,D4,G2,G4,r,r,r,r,r,r,r,r,r,r,r,G5,B4,D4,r,G2,G1
178.5,148.75,30,2.5,F#6,r,F#5,r,G4,D4,r,D4,G2,G4,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,D4,r,G2,G1
179.0,149.1667,30,2.6667,E6,r,E5,r,E5,E4,r,G3,C3,E4,r,r,r,r,r,r,r,r,r,r,r,E5,E4,G3,r,C3,C2
179.5,149.5833,30,2.8333,E6,r,E5,r,E5,F#4,r,A3,C3,F#4,r,r,r,r,r,r,r,r,r,r,r,E5,F#4,A3,r,C3,C2
180.0,150.0,31,1.0,D6,r,D5,r,D5,G4,r,B3,B2,G4,r,r,r,r,r,r,r,r,r,r,r,D5,G4,B3,r,B2,B1
180.5,150.4167,31,1.1667,D6,r,D5,r,D5,G4,r,B3,B2,G4,r,r,r,r,r,r,r,r,r,r,r,D5,G4,D4,D4,B2,B1
181.0,150.8333,31,1.3333,C6,r,C5,r,C5,G4,r,E4,G2,r,G3,r,r,r,r,r,r,r,r,r,r,C5,G4,E4,E4,G2,G1
181.5,151.25,31,1.5,B5,r,B4,r,B4,G4,r,D4,G2,r,G3,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,D4,G2,G1
182.0,151.6667,31,1.6667,A5,r,A4,r,A4,D4,r,C4,G2,r,G3,r,r,r,r,r,r,r,r,r,r,A4,D4,C4,C4,G2,G1
182.5,152.0833,31,1.8333,A5,r,A4,r,A4,D4,r,B3,G2,r,G3,r,r,r,r,r,r,r,r,r,r,A4,D4,B3,B3,G2,G1
182.75,152.2917,31,1.9167,G5,r,G4,r,G4,D4,r,B3,G2,r,G3,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,B3,G2,G1
183.0,152.5,31,2.0,E5,r,E4,r,E4,C4,r,E4,G2,r,B3,r,r,r,r,r,r,r,r,r,r,E4,C4,B3,B3,G2,G1
184.0,153.3333,31,2.3333,r,r,r,r,r,r,r,E4,G2,r,A3,r,r,r,r,r,r,r,r,r,r,r,C4,A3,A3,G2,G1
185.0,154.1667,31,2.6667,E5,r,r,r,E4,E3,r,E3,G2,r,C4,E3,G2,r,r,r,r,r,r,r,E5,E4,C4,E3,E3,G2,r
185.5,154.5833,31,2.8333,F#5,r,r,r,F#4,E-3,r,E-3,G2,r,C4,E-3,G2,r,r,r,r,r,r,r,F#5,F#4,C4,E-3,E-3,G2,r
186.0,155.0,32,1.0,G5,r,r,r,G4,D3,r,D3,G2,r,B3,D3,G2,r,r,r,r,r,r,r,G5,G4,B3,D3,D3,G2,G1
186.5,155.4167,32,1.1667,G5,r,r,r,G4,G3,r,D3,G2,r,B3,D3,G2,r,r,r,r,r,r,r,G5,G4,B3,D3,D3,D3,G1
187.0,155.8333,32,1.3333,G5,r,D4,r,G4,B3,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,G5,G4,D4,B3,B3,B3,r
187.5,156.25,32,1.5,A5,r,D5,r,A4,D4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,A5,A4,D4,D4,D4,B3,r
188.0,156.6667,32,1.6667,B5,r,D5,r,B4,G4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,B5,B4,G4,D4,D4,D3,G1
188.5,157.0833,32,1.8333,C6,r,D5,r,C5,A4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,C6,C5,A4,D4,D4,D3,G1
189.0,157.5,32,2.0,D6,r,D5,r,D5,B4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,D6,D5,B4,D4,D4,G2,G1
189.5,157.9167,32,2.1667,D6,r,D5,r,D5,B4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,D6,D5,B4,D4,D4,D3,G1
190.0,158.3333,32,2.3333,B5,r,E5,r,B4,G4,r,r,r,E4,r,D3,G2,r,r,r,r,r,r,r,B5,B4,G4,E4,E4,B3,r
190.5,158.75,32,2.5,B5,r,D5,r,B4,G4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,B5,B4,G4,D4,D4,B3,r
191.0,159.1667,32,2.6667,B5,r,D5,r,B4,G4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,B5,B4,G4,D4,D4,D3,G1
192.0,160.0,33,1.0,C6,r,D5,r,C5,A4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,C6,C5,A4,D4,D4,G2,G1
192.5,160.4167,33,1.1667,C6,r,D5,r,C5,A4,r,r,r,D4,r,D3,G2,r,r,r,r,r,r,r,C6,C5,A4,D4,D4,D3,G1
193.0,160.8333,33,1.3333,A5,r,E5,r,A4,F#4,r,C4,G2,E4,C4,D3,G2,r,r,r,r,r,r,r,A5,A4,F#4,E4,E4,C4,G1
193.5,161.25,33,1.5,A5,r,D5,r,A4,F#4,r,C4,G2,D4,C4,D3,G2,r,r,r,r,r,r,r,A5,A4,F#4,D4,D4,C4,G1
194.0,161.6667,33,1.6667,A5,r,E5,r,A4,F#4,r,C4,G2,E4,C4,D3,G2,r,r,r,r,r,r,r,A5,A4,F#4,E4,E4,D3,G1
194.5,162.0833,33,1.8333,A5,r,D5,r,A4,F#4,r,C4,G2,D4,C4,D3,G2,r,r,r,r,r,r,r,A5,A4,F#4,D4,D4,D3,G1
195.0,162.5,33,2.0,G6,r,G5,r,G5,G4,r,B3,G2,D4,B3,D3,G2,r,r,r,r,r,r,r,G6,G5,G4,E4,E4,G2,G1
195.5,162.9167,33,2.1667,G6,r,G5,r,G5,G4,r,B3,G2,D4,B3,D3,G2,r,r,r,r,r,r,r,G6,G5,G4,B4,B4,G2,G1
196.0,163.3333,33,2.3333,G6,r,B4,r,G5,E-4,r,B3,B2,B4,E-4,r,B2,G5,r,r,r,r,r,B2,G6,G5,E-4,B4,B4,B2,B1
197.0,164.1667,33,2.6667,G6,r,B4,r,G5,E-4,r,B3,B2,B4,E-4,B3,B2,G5,r,r,r,r,r,B2,G6,G5,E-4,B4,B4,B2,B1
197.75,164.7917,33,2.9167,F#6,r,A4,r,F#5,E-4,r,B3,B2,A4,E-4,B3,B2,E-5,r,r,r,r,r,B2,F#6,F#5,E-4,A4,A4,B2,B1
198.0,165.0,34,1.0,E6,r,G4,r,E5,E4,r,G3,C3,G4,E4,G3,C3,E5,r,r,r,r,r,E3,E6,E5,E4,G4,G4,C3,C2
198.75,165.625,34,1.25,D6,r,G4,r,D5,E4,r,G3,C3,G4,E4,G3,C3,E5,r,r,r,r,r,E3,D6,D5,E4,G4,G4,C3,C2
199.0,165.8333,34,1.3333,C6,r,G4,r,C5,E4,r,G3,C3,r,E4,G3,C3,E5,r,r,r,r,r,r,C6,C5,E4,E4,E4,C3,C2
199.5,166.25,34,1.5,B5,r,G4,r,B4,E4,r,G3,C3,r,E4,G3,C3,E5,r,r,r,r,r,r,B5,B4,E4,E4,E4,C3,C2
200.0,166.6667,34,1.6667,A5,r,r,r,A4,E4,r,G3,C3,r,r,G3,C3,E5,r,r,r,r,r,r,A5,A4,E4,E4,E4,C3,C2
200.5,167.0833,34,1.8333,G5,r,r,r,G4,E4,r,G3,C3,r,r,G3,C3,E5,r,r,r,r,r,r,G5,G4,E4,E4,E4,C3,C2
201.0,167.5,34,2.0,A5,r,r,r,A4,E4,r,C4,F#2,r,r,C4,F#2,E5,r,r,r,r,r,r,A5,A4,E4,C4,C4,F#2,F#1
201.5,167.9167,34,2.1667,B5,r,r,r,B4,E4,r,C4,F#2,r,r,C4,F#2,E5,r,r,r,r,r,r,B5,B4,E4,C4,C4,F#2,F#1
202.0,168.3333,34,2.3333,D6,r,r,r,D5,E4,r,B3,F#2,r,r,C4,F#2,F#4,r,r,r,r,r,r,D6,D5,E4,B3,B3,F#2,F#1
202.5,168.75,34,2.5,C6,r,r,r,C5,E4,r,A3,F#2,r,r,C4,F#2,F#4,r,r,r,r,r,r,C6,C5,E4,A3,A3,F#2,F#1
203.0,169.1667,34,2.6667,E-5,r,r,r,B4,G3,r,G3,B2,r,r,B3,B2,B4,r,r,r,r,r,B2,E-5,B4,B3,G3,G3,B2,B1
203.5,169.5833,34,2.8333,E-5,r,r,r,A4,F#3,r,F#3,B2,r,r,B3,B2,B4,r,r,r,r,r,B2,E-5,A4,B3,F#3,F#3,B2,B1
204.0,170.0,35,1.0,E5,r,r,r,G4,E3,r,E3,E2,r,r,B3,E3,B4,r,r,r,r,r,E3,E5,G4,B3,E3,E3,E2,E1
204.5,170.4167,35,1.1667,E5,r,r,r,G4,E3,r,E3,E2,r,r,B3,E3,B4,r,r,r,r,r,E3,F#5,G4,B3,E3,E3,E2,E1
205.0,170.8333,35,1.3333,r,r,r,r,E4,E3,r,r,r,r,r,r,r,E4,r,r,r,r,r,r,G5,E4,B3,G3,E3,E3,E2
206.0,171.6667,35,1.6667,r,r,r,r,E4,E3,r,r,r,G4,E4,r,r,E4,r,r,r,r,r,E3,C5,E4,B-3,B-3,r,E3,E2
207.0,172.5,35,2.0,r,r,r,r,E4,E3,r,r,r,G4,E4,r,r,E4,r,r,r,r,r,E3,B4,E4,B3,B3,r,E3,E2
208.0,173.3333,35,2.3333,r,r,r,r,r,r,r,r,r,G4,E4,r,r,r,r,r,r,r,r,r,E5,E4,B3,B3,r,E3,E2
209.0,174.1667,35,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,r,C4,r,r
209.5,174.5833,35,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#4,E-4,r,C4,r,r
210.0,175.0,36,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,D4,r,B3,r,r
211.0,175.8333,36,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,B3,r,D4,r,r
211.5,176.25,36,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,G4,B3,r,D4,r,r
212.0,176.6667,36,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,A3,r,D4,r,r
212.5,177.0833,36,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,A3,r,D4,r,r
213.0,177.5,36,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,G#3,r,D4,r,r
214.0,178.3333,36,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,G#3,r,F4,r,r
215.0,179.1667,36,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,G#3,D3,E4,D3,r
216.0,180.0,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,A3,D3,E4,D3,r
217.0,180.8333,37,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,G3,D3,E-4,r,r
218.0,181.6667,37,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,C4,F#3,D4,D3,r
218.5,182.0833,37,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,C4,F#3,C4,D3,r
219.0,182.5,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B3,B3,G3,B3,D3,r
219.5,182.9167,37,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B4,D4,G3,B3,D3,r
220.0,183.3333,37,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B4,E-4,B3,E-4,B2,r
221.0,184.1667,37,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B4,E-4,B3,E-4,B2,B1
221.5,184.5833,37,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,E-4,B3,E-4,B2,B1
222.0,185.0,38,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,E4,C4,E4,C3,C2
222.5,185.4167,38,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,E4,C4,E4,C3,C2
223.0,185.8333,38,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,E4,r,E4,C3,r
223.5,186.25,38,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,r,E4,C3,r
224.0,186.6667,38,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,r,E3,E3,C3,C2
224.5,187.0833,38,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C4,r,E3,E3,C3,C2
225.0,187.5,38,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,r,E4,C4,F#2,F#1
226.0,188.3333,38,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A3,r,E4,C4,F#2,r
227.0,189.1667,38,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,r,G3,E-3,B2,B1
227.5,189.5833,38,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,B3,r,F#3,E-3,B2,B1
228.0,190.0,39,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B3,r,E3,E3,E2,E1
228.5,190.4167,39,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B3,r,F#3,F#3,E2,E1
229.0,190.8333,39,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,r,G3,G3,E2,r
230.0,191.6667,39,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E4,B-3,r,G3,C3,E2,E1
231.0,192.5,39,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E4,B3,r,G3,B2,E2,E1
232.0,193.3333,39,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,r,G3,E3,E2,r
234.0,195.0,40,1.0,r,r,r,r,r,r,C4,C4,C3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C3
235.0,195.7143,40,1.3333,G6,E6,G5,E5,G5,E5,r,r,r,G4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
235.5,196.0714,40,1.5,G6,E6,G5,E5,G5,E5,r,r,r,G4,E4,r,r,G4,E4,r,r,r,r,r,r,r,r,r,r,r,r
235.75,196.25,40,1.5833,G6,E6,G5,E5,G5,E5,r,r,r,G4,E4,r,r,G4,E4,r,r,r,r,r,r,r,r,r,r,r,r
236.0,196.4286,40,1.6667,G6,E6,G5,E5,G5,E5,r,r,r,G4,E4,r,r,E5,C5,r,r,r,r,r,r,r,r,r,r,r,r
236.5,196.7857,40,1.8333,G6,E6,G5,E5,G5,E5,r,r,r,G4,E4,r,r,C5,G4,r,r,r,r,r,r,r,r,r,r,r,r
237.0,197.1429,40,2.0,G6,E6,G5,E5,G5,E5,r,C3,C2,G4,E4,C4,C3,G5,E5,E4,G3,C3,C2,E3,E5,E5,E5,E4,C3,C3,C2
238.0,197.8571,40,2.3333,G6,E6,G5,E5,G5,E5,r,G3,G2,G4,E4,r,r,G5,E5,r,r,r,r,r,r,r,r,r,G3,G3,G2
238.5,198.2143,40,2.5,G6,E6,G5,E5,G5,E5,r,G3,G2,G4,E4,C4,E3,G5,E5,r,r,r,r,r,r,r,r,r,G3,G3,G2
238.75,198.3929,40,2.5833,G6,E6,G5,E5,G5,E5,r,G3,G2,G4,E4,C4,E3,G5,E5,r,r,r,r,r,r,r,r,r,G3,G3,G2
239.0,198.5714,40,2.6667,G6,E6,G5,E5,G5,E5,r,F#3,F#2,G4,E4,E4,C4,G5,E5,r,r,r,r,r,r,r,r,r,F#3,F#3,F#2
239.5,198.9286,40,2.8333,G6,E6,G5,E5,G5,E5,r,F#3,F#2,G4,E4,E4,C4,G5,E5,r,r,r,r,r,r,r,r,r,F#3,F#3,F#2
240.0,199.2857,41,1.0,G6,E6,G5,E5,G5,E5,r,E3,E2,G4,E4,E4,G3,G5,E5,r,r,r,r,r,r,r,r,r,E3,E3,E2
240.5,199.6429,41,1.1667,G6,E6,G5,E5,G5,E5,r,E3,E2,G4,C4,C4,G3,G5,E5,r,r,r,r,r,E4,E4,E4,C4,E3,E3,E2
241.0,200.0,41,1.3333,G6,E6,G5,E5,G5,E5,r,D3,D2,G4,C4,C4,G3,r,r,r,r,r,r,r,E4,E4,E4,C4,D3,D3,D2
241.5,200.3571,41,1.5,G6,E6,G5,E5,G5,E5,r,D3,D2,E4,C4,C4,G3,r,r,r,r,r,r,r,G4,G4,G4,E4,D3,D3,D2
242.0,200.7143,41,1.6667,G6,E6,G5,E5,G5,E5,r,C3,C2,G4,C4,C4,E3,r,r,r,r,r,r,r,G4,G4,G4,E4,C3,C3,C2
242.5,201.0714,41,1.8333,G6,E6,G5,E5,G5,E5,r,C3,C2,E4,C4,C4,G3,r,r,r,r,r,r,r,C5,C5,C5,E4,C3,C3,C2
243.0,201.4286,41,2.0,G6,E6,G5,E5,G5,E5,r,B2,B2,G4,C4,G3,E3,r,r,r,r,r,r,r,C5,C5,C5,E4,B2,B2,B1
243.5,201.7857,41,2.1667,G6,E6,G5,E5,G5,E5,r,B2,B2,G4,C4,G3,E3,C4,C4,r,r,r,r,r,E5,E5,G4,C4,B2,B2,B1
244.0,202.1429,41,2.3333,G6,E6,G5,E5,G5,E5,r,A2,A2,E4,C4,G3,E3,E4,E4,r,r,r,r,r,G5,G5,C5,E4,A2,A2,A1
244.5,202.5,41,2.5,G6,E6,G5,E5,G5,E5,r,A2,A2,E4,C4,G3,E3,G4,G4,r,r,r,r,r,C5,C5,G4,E4,A2,A2,A1
245.0,202.8571,41,2.6667,r,r,G5,E5,G5,E5,r,G2,G2,G4,E4,C4,G3,C5,C5,r,r,r,r,r,E5,E5,C5,E4,G2,G2,G1
245.5,203.2143,41,2.8333,r,r,G5,E5,G5,E5,r,G2,G2,G4,E4,C4,G3,E5,E5,r,r,r,r,r,C6,C6,E5,G4,G2,G2,G1
246.0,203.5714,42,1.0,r,r,G5,E5,G5,E5,r,F#2,F#2,G4,E4,C#4,F#3,G5,E5,r,r,r,r,r,r,B5,E5,G4,r,F#2,F#1
